client_id,client_name,instrument_id,ticker,open_position,avg_acquisition_cost,current_price,unrealized_pnl,realized_pnl,total_pnl
9,Ridgeline Holdings,26,MERIN1,27210.0,491.931,748.737,6987692.24,3556896.84,10544589.07
9,Ridgeline Holdings,7,QUACA3,17065.0,475.8058,709.3516,3985459.19,2881328.95,6866788.14
5,Northbridge Fund,26,MERIN1,8796.0,461.188,748.737,2529281.43,1449200.09,3978481.53
9,Ridgeline Holdings,18,MERGR5,27033.0,434.6296,520.1016,2310563.98,1286840.24,3597404.22
9,Ridgeline Holdings,35,REDHO9,28798.0,249.4618,335.1019,2466262.64,660065.2,3126327.84
9,Ridgeline Holdings,24,CYBMA0,20957.0,130.4056,225.7051,1997191.15,539817.0,2537008.16
9,Ridgeline Holdings,23,SILIN3,22492.0,132.809,209.053,1714880.97,783776.67,2498657.64
9,Ridgeline Holdings,6,CYBIN4,24448.0,390.3103,437.1502,1145141.59,1336654.18,2481795.78
9,Ridgeline Holdings,14,WAVIN2,16931.0,359.7772,385.0886,428547.49,1961228.04,2389775.53
9,Ridgeline Holdings,3,BLUAG3,18930.0,179.9888,278.8114,1870711.37,47949.45,1918660.82
18,Brightside Holdings,26,MERIN1,2131.0,497.5053,748.737,535374.76,1038367.23,1573741.99
4,Harborview Partners,23,SILIN3,12283.0,136.6817,209.053,888936.62,319597.67,1208534.29
10,Harborview Holdings,7,QUACA3,4135.0,533.5308,709.3516,727019.14,469036.68,1196055.82
8,Silverline Holdings,26,MERIN1,3251.0,516.5179,748.737,754944.3,365280.05,1120224.35
4,Harborview Partners,26,MERIN1,2387.0,467.6148,748.737,671038.66,442241.82,1113280.48
10,Harborview Holdings,26,MERIN1,2037.0,480.2148,748.737,546979.65,543802.55,1090782.19
9,Ridgeline Holdings,15,SILIN4,26222.0,335.9324,367.2083,820117.34,261294.6,1081411.94
9,Ridgeline Holdings,21,VERCA7,33248.0,334.9506,372.6011,1251805.1,-172640.23,1079164.87
18,Brightside Holdings,7,QUACA3,3275.0,502.6393,709.3516,676982.69,323890.76,1000873.45
24,Anchor Fund,26,MERIN1,1783.0,503.3282,748.737,437563.83,528453.04,966016.87
7,Meridian Asset Management,7,QUACA3,2845.0,472.0307,709.3516,675177.82,246810.99,921988.81
4,Harborview Partners,3,BLUAG3,9519.0,179.6762,278.8114,943668.11,-29557.83,914110.29
7,Meridian Asset Management,26,MERIN1,3241.0,542.1809,748.737,669448.28,221410.41,890858.69
8,Silverline Holdings,7,QUACA3,2523.0,492.6251,709.3516,546800.93,342422.72,889223.65
