client_id,client_name,instrument_id,ticker,calculated_position,declared_quantity,discrepancy,discrepancy_type
13,Vantage Capital,19,ORBTE0,11954.0,,11954.0,MISSING_AT_CUSTODIAN
10,Harborview Holdings,40,ZENCA1,5130.5,,5130.5,MISSING_AT_CUSTODIAN
13,Vantage Capital,37,SILPL1,3160.0,,3160.0,MISSING_AT_CUSTODIAN
10,Harborview Holdings,17,AURIN2,3022.0,,3022.0,MISSING_AT_CUSTODIAN
5,Northbridge Fund,2,QUACO1,,117.08,-117.08,PHANTOM_AT_CUSTODIAN
1,Thomas Garcia,7,QUACA3,,32.78,-32.78,PHANTOM_AT_CUSTODIAN
17,Zoe Muller,28,BLUTE2,,11.52,-11.52,PHANTOM_AT_CUSTODIAN
5,Northbridge Fund,35,REDHO9,,6.12,-6.12,PHANTOM_AT_CUSTODIAN
14,Zoe Costa,37,SILPL1,293.0,146.5,146.5,QUANTITY_MISMATCH
5,Northbridge Fund,20,ATLPA1,788.0,669.8,118.2,QUANTITY_MISMATCH
1,Thomas Garcia,34,NORIN2,233.0,116.5,116.5,QUANTITY_MISMATCH
17,Zoe Muller,37,SILPL1,283.0,325.45,-42.45,QUANTITY_MISMATCH
3,Alice Costa,25,FALTE3,43.0,21.5,21.5,QUANTITY_MISMATCH
3,Alice Costa,10,HARIN3,33.0,36.3,-3.3,QUANTITY_MISMATCH
