client_id,client_name,instrument_id,ticker,trade_date,side,quantity,signed_quantity,running_position
1,Thomas Garcia,1,AURHO3,2024-08-19,BUY,13.0,13.0,13.0
1,Thomas Garcia,1,AURHO3,2024-09-11,BUY,20.0,20.0,33.0
1,Thomas Garcia,1,AURHO3,2024-10-11,BUY,47.0,47.0,80.0
1,Thomas Garcia,1,AURHO3,2024-10-24,SELL,18.0,-18.0,62.0
1,Thomas Garcia,1,AURHO3,2024-12-04,BUY,6.0,6.0,68.0
1,Thomas Garcia,1,AURHO3,2024-12-13,SELL,24.0,-24.0,44.0
1,Thomas Garcia,1,AURHO3,2025-01-28,BUY,37.0,37.0,81.0
1,Thomas Garcia,1,AURHO3,2025-07-02,BUY,6.0,6.0,87.0
1,Thomas Garcia,1,AURHO3,2025-08-14,SELL,20.0,-20.0,67.0
1,Thomas Garcia,1,AURHO3,2025-09-11,BUY,17.0,17.0,84.0
1,Thomas Garcia,1,AURHO3,2025-09-16,SELL,21.0,-21.0,63.0
1,Thomas Garcia,1,AURHO3,2025-09-17,BUY,11.0,11.0,74.0
1,Thomas Garcia,1,AURHO3,2025-10-06,BUY,17.0,17.0,91.0
1,Thomas Garcia,1,AURHO3,2025-10-07,BUY,25.0,25.0,116.0
1,Thomas Garcia,1,AURHO3,2026-02-16,BUY,10.0,10.0,126.0
1,Thomas Garcia,2,QUACO1,2024-09-03,BUY,11.0,11.0,11.0
1,Thomas Garcia,2,QUACO1,2024-09-12,SELL,11.0,-11.0,0.0
1,Thomas Garcia,2,QUACO1,2024-09-13,BUY,16.0,16.0,16.0
1,Thomas Garcia,2,QUACO1,2024-09-18,BUY,81.0,81.0,97.0
1,Thomas Garcia,2,QUACO1,2024-10-24,BUY,30.0,30.0,127.0
1,Thomas Garcia,2,QUACO1,2024-10-31,BUY,13.0,13.0,140.0
1,Thomas Garcia,2,QUACO1,2025-01-06,BUY,50.0,50.0,190.0
1,Thomas Garcia,2,QUACO1,2025-04-30,BUY,24.0,24.0,214.0
1,Thomas Garcia,2,QUACO1,2025-09-30,SELL,41.0,-41.0,173.0
1,Thomas Garcia,2,QUACO1,2025-11-26,BUY,16.0,16.0,189.0
1,Thomas Garcia,2,QUACO1,2026-01-05,SELL,21.0,-21.0,168.0
1,Thomas Garcia,2,QUACO1,2026-02-12,SELL,11.0,-11.0,157.0
1,Thomas Garcia,2,QUACO1,2026-04-10,BUY,10.0,10.0,167.0
1,Thomas Garcia,2,QUACO1,2026-05-13,BUY,46.0,46.0,213.0
1,Thomas Garcia,2,QUACO1,2026-07-23,BUY,19.0,19.0,232.0
1,Thomas Garcia,2,QUACO1,2026-07-23,SELL,19.0,-19.0,213.0
1,Thomas Garcia,3,BLUAG3,2024-09-11,BUY,10.0,10.0,10.0
1,Thomas Garcia,3,BLUAG3,2024-09-11,BUY,34.0,34.0,44.0
1,Thomas Garcia,3,BLUAG3,2024-09-12,BUY,37.0,37.0,81.0
1,Thomas Garcia,3,BLUAG3,2024-09-13,BUY,5.0,5.0,86.0
1,Thomas Garcia,3,BLUAG3,2024-10-04,SELL,21.0,-21.0,65.0
1,Thomas Garcia,3,BLUAG3,2024-11-01,BUY,19.0,19.0,84.0
1,Thomas Garcia,3,BLUAG3,2025-04-07,BUY,12.0,12.0,96.0
1,Thomas Garcia,3,BLUAG3,2025-07-01,SELL,14.0,-14.0,82.0
1,Thomas Garcia,3,BLUAG3,2025-07-09,BUY,7.0,7.0,89.0
1,Thomas Garcia,3,BLUAG3,2025-09-10,BUY,48.0,48.0,137.0
1,Thomas Garcia,3,BLUAG3,2025-09-18,BUY,106.0,106.0,243.0
1,Thomas Garcia,3,BLUAG3,2025-11-24,BUY,9.0,9.0,252.0
1,Thomas Garcia,3,BLUAG3,2026-01-01,SELL,18.0,-18.0,234.0
1,Thomas Garcia,3,BLUAG3,2026-01-20,BUY,55.0,55.0,289.0
1,Thomas Garcia,3,BLUAG3,2026-05-07,BUY,25.0,25.0,314.0
1,Thomas Garcia,3,BLUAG3,2026-05-11,BUY,9.0,9.0,323.0
1,Thomas Garcia,4,AMBPL4,2024-08-21,BUY,51.0,51.0,51.0
1,Thomas Garcia,4,AMBPL4,2024-09-02,BUY,22.0,22.0,73.0
1,Thomas Garcia,4,AMBPL4,2024-09-06,BUY,33.0,33.0,106.0
1,Thomas Garcia,4,AMBPL4,2024-09-09,BUY,19.0,19.0,125.0
1,Thomas Garcia,4,AMBPL4,2024-09-11,SELL,27.0,-27.0,98.0
1,Thomas Garcia,4,AMBPL4,2024-09-11,SELL,23.0,-23.0,75.0
1,Thomas Garcia,4,AMBPL4,2024-09-11,SELL,8.0,-8.0,67.0
1,Thomas Garcia,4,AMBPL4,2024-09-12,SELL,7.0,-7.0,60.0
1,Thomas Garcia,4,AMBPL4,2024-09-12,BUY,10.0,10.0,70.0
1,Thomas Garcia,4,AMBPL4,2024-09-13,SELL,22.0,-22.0,48.0
1,Thomas Garcia,4,AMBPL4,2024-09-13,SELL,13.0,-13.0,35.0
1,Thomas Garcia,4,AMBPL4,2024-09-13,BUY,18.0,18.0,53.0
