client_id,client_name,client_type,sector,sector_value,total_portfolio_value,pct_of_portfolio,concentration_flag
1,Thomas Garcia,Individual,Energy,796649.37,1835843.06,43.39,1
1,Thomas Garcia,Individual,Consumer Staples,261849.78,1835843.06,14.26,0
1,Thomas Garcia,Individual,Materials,176404.95,1835843.06,9.61,0
1,Thomas Garcia,Individual,Financials,144541.51,1835843.06,7.87,0
1,Thomas Garcia,Individual,Telecommunications,124317.6,1835843.06,6.77,0
1,Thomas Garcia,Individual,Healthcare,109322.22,1835843.06,5.95,0
1,Thomas Garcia,Individual,Technology,96322.96,1835843.06,5.25,0
1,Thomas Garcia,Individual,Consumer Discretionary,86165.1,1835843.06,4.69,0
1,Thomas Garcia,Individual,Utilities,33623.25,1835843.06,1.83,0
1,Thomas Garcia,Individual,Industrials,6646.32,1835843.06,0.36,0
2,Vantage Partners,Corporate,Technology,4320138.96,11200921.24,38.57,0
2,Vantage Partners,Corporate,Consumer Staples,1412166.55,11200921.24,12.61,0
2,Vantage Partners,Corporate,Consumer Discretionary,1158803.5,11200921.24,10.35,0
2,Vantage Partners,Corporate,Energy,841880.34,11200921.24,7.52,0
2,Vantage Partners,Corporate,Telecommunications,779786.27,11200921.24,6.96,0
2,Vantage Partners,Corporate,Materials,711874.61,11200921.24,6.36,0
2,Vantage Partners,Corporate,Financials,619443.96,11200921.24,5.53,0
2,Vantage Partners,Corporate,Industrials,532733.24,11200921.24,4.76,0
2,Vantage Partners,Corporate,Utilities,427859.31,11200921.24,3.82,0
2,Vantage Partners,Corporate,Healthcare,396234.5,11200921.24,3.54,0
3,Alice Costa,Individual,Consumer Discretionary,180543.73,871773.37,20.71,0
3,Alice Costa,Individual,Energy,165689.97,871773.37,19.01,0
3,Alice Costa,Individual,Utilities,129011.15,871773.37,14.8,0
3,Alice Costa,Individual,Consumer Staples,87899.71,871773.37,10.08,0
3,Alice Costa,Individual,Healthcare,67559.89,871773.37,7.75,0
3,Alice Costa,Individual,Industrials,60726.5,871773.37,6.97,0
3,Alice Costa,Individual,Materials,59202.51,871773.37,6.79,0
3,Alice Costa,Individual,Technology,50173.06,871773.37,5.76,0
3,Alice Costa,Individual,Financials,49005.62,871773.37,5.62,0
3,Alice Costa,Individual,Telecommunications,21961.23,871773.37,2.52,0
