client_id,client_name,num_observations,var_95_daily_return,var_95_pct_loss
15,Antoine Silva,249,-0.018526,1.853
5,Northbridge Fund,249,-0.018218,1.822
12,Camille Costa,249,-0.01709,1.709
3,Alice Costa,249,-0.015706,1.571
1,Thomas Garcia,249,-0.014677,1.468
14,Zoe Costa,249,-0.014664,1.466
22,Ridgeline Capital,249,-0.014604,1.46
19,Giulia Garcia,249,-0.014076,1.408
23,Sarah Larsen,249,-0.013581,1.358
7,Meridian Asset Management,249,-0.013572,1.357
20,Yasmine Novak,249,-0.013241,1.324
17,Zoe Muller,249,-0.012858,1.286
16,Alice Silva,249,-0.01259,1.259
10,Harborview Holdings,249,-0.012424,1.242
4,Harborview Partners,249,-0.012172,1.217
21,Antoine Martin,249,-0.012152,1.215
6,Diego Larsen,249,-0.012054,1.205
25,Hugo Kowalski,249,-0.011215,1.121
11,Harborview Group,249,-0.011004,1.1
24,Anchor Fund,249,-0.01043,1.043
2,Vantage Partners,249,-0.010192,1.019
8,Silverline Holdings,249,-0.010143,1.014
13,Vantage Capital,249,-0.010139,1.014
18,Brightside Holdings,249,-0.009923,0.992
9,Ridgeline Holdings,249,-0.009047,0.905
